TP_ORGANIZACAO_ACADEMICA,TP_CATEGORIA_ADMINISTRATIVA,QT_TEC_TOTAL,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_MASC,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_MASC,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_MASC,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_MASC,QT_DOC_TOTAL,QT_DOC_EXE,QT_DOC_EX_FEMI,QT_DOC_EX_MASC,QT_DOC_EX_SEM_GRAD,QT_DOC_EX_GRAD,QT_DOC_EX_ESP,QT_DOC_EX_MEST,QT_DOC_EX_DOUT,QT_DOC_EX_INT,QT_DOC_EX_INT_DE,QT_DOC_EX_INT_SEM_DE,QT_DOC_EX_PARC,QT_DOC_EX_HOR,QT_DOC_EX_0_29,QT_DOC_EX_30_34,QT_DOC_EX_35_39,QT_DOC_EX_40_44,QT_DOC_EX_45_49,QT_DOC_EX_50_54,QT_DOC_EX_55_59,QT_DOC_EX_60_MAIS,QT_DOC_EX_BRANCA,QT_DOC_EX_PRETA,QT_DOC_EX_PARDA,QT_DOC_EX_AMARELA,QT_DOC_EX_INDIGENA,QT_DOC_EX_COR_ND,QT_DOC_EX_BRA,QT_DOC_EX_EST,QT_DOC_EX_COM_DEFICIENCIA
1,1,1379,2,19,2,14,32,67,123,141,313,316,170,105,45,30,1738,1637,819,818,0,62,68,205,1302,1585,1313,272,52,0,49,170,313,350,247,182,143,183,1023,85,431,43,8,47,1609,28,6
1,1,3081,0,0,6,30,64,132,349,263,785,702,263,349,81,57,2977,2886,1340,1546,0,18,25,235,2608,2728,2435,293,158,0,40,170,325,554,505,374,412,506,1848,94,474,59,9,402,2731,155,17
1,1,1699,0,0,17,47,315,275,149,60,249,165,204,130,56,32,1793,1749,834,915,0,81,0,227,1441,1622,1441,181,127,0,32,132,283,346,318,248,194,196,206,31,266,13,2,1231,1719,30,1
1,1,2418,6,5,3,11,137,200,455,432,444,308,150,191,40,36,2169,1718,758,960,0,79,125,401,1113,1609,1355,254,109,0,77,160,272,308,242,231,228,200,110,12,141,6,2,1447,1718,0,1
1,1,1095,3,19,1,15,27,68,105,113,244,213,126,94,36,31,1695,1482,716,766,0,0,77,275,1130,1384,1195,189,98,0,26,131,269,308,202,156,151,239,133,44,232,1,2,1070,1482,0,0
1,1,677,3,20,1,10,47,16,37,75,92,114,115,93,31,23,905,836,336,500,0,3,14,76,743,830,778,52,6,0,1,40,182,195,134,102,108,74,408,23,148,5,2,250,834,2,2
1,1,948,13,21,8,10,7,47,68,83,162,148,147,112,69,53,1353,1353,606,747,0,1,3,48,1301,1298,1272,26,55,0,2,50,163,282,229,203,180,244,788,13,76,29,2,445,1324,29,8
1,1,2002,8,88,0,25,16,264,107,170,313,488,210,183,73,57,1307,1307,533,774,0,12,23,126,1146,1254,1171,83,53,0,36,112,232,281,189,116,173,168,443,27,106,6,2,723,1282,25,0
1,2,741,0,1,1,4,55,67,146,176,117,87,27,36,7,17,1716,1657,862,795,0,13,52,313,1279,1164,929,235,490,3,35,161,227,261,228,260,253,232,1370,22,126,79,2,58,1644,13,50
1,5,1146,0,0,19,9,206,148,350,163,125,85,21,14,2,4,1317,1313,579,734,0,0,32,528,753,451,0,451,708,154,23,127,175,239,200,210,146,193,1067,11,27,25,1,182,1307,6,13
1,5,435,1,7,7,12,48,82,97,73,47,35,6,16,1,3,517,509,235,274,0,0,39,192,278,176,0,176,120,213,8,42,70,64,77,66,68,114,347,18,143,1,0,0,505,4,2
1,1,1138,0,13,2,4,49,74,84,98,241,142,179,116,94,42,985,972,473,499,0,5,15,104,848,954,827,127,18,0,12,77,163,203,169,135,93,120,799,20,72,8,5,68,940,32,9
1,5,984,9,18,17,14,270,202,212,76,95,25,22,13,8,3,789,776,416,360,0,0,103,347,326,271,0,271,280,225,5,74,100,139,126,124,98,110,743,2,7,0,0,24,776,0,9
1,5,889,1,1,1,2,270,246,139,66,65,31,23,25,8,11,909,891,432,459,0,0,53,302,536,304,3,301,449,138,7,68,125,189,155,118,101,128,865,10,15,1,0,0,871,20,5
